DATE,O,H,L,C,SYM
20100628,104.31,104.69,103.03,103.56,CL
20100629,103.46,103.63,100.52,101.25,CL
20100630,100.77,102.14,99.7,100.94,CL
20100701,100.68,100.71,97.36,98.26,CL
20100702,97.98,98.69,96.93,97.45,CL
20100706,97.37,99.17,96.4,97.29,CL
20100707,97.38,100.23,96.75,99.38,CL
20100708,100.16,101.31,99.69,100.75,CL
20100709,101.16,101.79,100.31,101.4,CL
20100712,101.61,101.74,99.83,100.26,CL
20100713,100.37,102.68,99.56,102.46,CL
20100714,102.44,103.46,101.69,102.35,CL
20100715,102.07,102.97,100.64,101.93,CL
20100716,102.13,102.46,100.56,101.32,CL
20100719,100.91,103.0,100.81,101.85,CL
20100720,101.71,102.88,100.96,102.75,CL
20100721,103.02,103.74,101.37,101.73,CL
20100722,101.6,104.59,101.33,104.47,CL
20100723,104.44,104.77,103.57,104.15,CL
20100726,104.15,104.5,103.23,104.15,CL
20100727,104.09,104.86,101.96,102.67,CL
20100728,102.25,102.91,101.07,102.16,CL
20100729,102.06,104.06,101.62,103.53,CL
20100730,103.42,104.22,102.0,104.12,CL
20100802,104.12,106.94,104.0,106.51,CL
20100803,106.58,107.81,106.28,107.72,CL
20100804,107.59,108.14,106.79,107.64,CL
20100805,107.61,107.65,106.73,107.18,CL
20100806,107.29,107.84,105.21,105.87,CL
20100809,106.08,106.93,105.88,106.65,CL
20100810,106.61,106.79,104.37,105.42,CL
20100811,105.39,105.61,102.42,103.19,CL
20100812,102.48,103.14,100.69,100.91,CL
20100813,100.92,101.91,100.18,100.56,CL
20100816,100.77,101.12,100.03,100.41,CL
20100817,100.23,101.8,100.18,100.94,CL
20100818,100.62,100.91,99.0,100.59,CL
20100819,100.44,101.27,99.13,99.6,CL
20100820,99.62,99.77,98.36,98.63,CL
20100823,98.71,99.29,97.56,97.91,CL
20100824,97.76,97.86,96.13,96.44,CL
20100825,96.28,97.78,95.57,97.33,CL
20100826,97.63,98.79,97.35,98.17,CL
20100827,97.99,100.4,96.85,99.98,CL
20100830,100.31,100.39,98.82,99.51,CL
20100831,98.88,99.54,96.34,96.73,CL
20100901,96.51,99.29,96.48,98.72,CL
20100902,98.72,99.95,97.92,99.83,CL
20100903,99.74,100.25,98.01,99.41,CL
20100907,99.11,99.44,97.44,98.9,CL
20100908,98.72,100.2,98.18,99.48,CL
20100909,99.73,100.77,98.69,99.06,CL
20100910,99.21,101.54,99.18,101.26,CL
20100913,101.17,102.85,101.17,102.0,CL
20100914,101.98,102.8,101.02,101.61,CL
20100915,101.45,101.46,99.47,100.83,CL
20100916,100.57,100.8,98.92,99.38,CL
20100917,99.28,100.06,97.56,98.47,CL
20100920,98.4,100.26,98.13,99.67,CL
20100921,99.38,99.41,97.62,98.33,CL
20100922,98.15,99.36,97.2,98.07,CL
20100923,98.2,98.97,96.94,98.54,CL
20100924,98.31,100.04,98.02,99.85,CL
20100927,99.83,100.53,98.88,99.88,CL
20100928,99.59,100.48,98.89,99.54,CL
20100929,99.56,101.49,98.96,101.22,CL
20100930,101.27,103.54,100.91,103.33,CL
20101001,103.2,105.11,103.06,104.94,CL
20101004,105.04,105.74,104.13,104.83,CL
20101005,104.73,106.35,104.51,106.18,CL
20101006,105.96,107.45,105.65,106.59,CL
20101007,106.63,107.79,104.36,105.03,CL
20101008,104.79,106.49,103.66,106.02,CL
20101011,106.31,106.86,105.18,105.57,CL
20101012,105.3,105.69,104.24,105.03,CL
20101013,105.08,106.81,105.04,106.37,CL
20101014,106.59,107.48,105.57,106.05,CL
20101015,106.13,106.69,104.11,104.61,CL
20101018,104.74,106.64,103.71,106.44,CL
20101019,106.31,106.56,102.61,102.85,CL
20101020,102.84,105.39,102.71,105.13,CL
20101021,105.14,105.29,102.68,103.15,CL
20101022,103.32,104.66,103.0,104.28,CL
20101025,104.6,105.87,104.04,105.11,CL
20101026,105.06,105.47,104.4,105.14,CL
20101027,105.07,105.28,103.11,104.53,CL
20101028,104.58,105.23,104.09,104.77,CL
20101029,104.51,104.71,103.15,104.02,CL
20101101,104.04,106.45,103.91,105.54,CL
20101102,105.47,107.06,105.42,106.49,CL
20101103,106.96,107.95,106.16,107.28,CL
20101104,107.68,109.42,107.51,109.08,CL
20101105,109.19,110.02,108.55,109.44,CL
20101108,109.98,110.08,108.55,109.65,CL
20101109,109.34,110.22,108.07,109.31,CL
20101110,109.04,110.8,108.69,110.4,CL
20101111,110.44,111.22,110.13,110.4,CL
20101112,110.32,110.44,107.11,107.47,CL
20101115,107.46,108.36,107.07,107.45,CL
20101116,107.17,107.33,104.62,104.93,CL
20101117,105.03,105.26,102.65,103.03,CL
20101118,103.04,104.94,103.04,104.44,CL
20101119,104.83,105.34,103.18,104.1,CL
20101122,104.27,104.99,102.8,103.86,CL
20101123,103.73,104.22,102.4,103.37,CL
20101124,103.11,106.37,103.09,105.98,CL
20101126,106.33,106.65,104.9,105.88,CL
20101129,106.02,108.02,105.71,107.85,CL
20101130,107.93,108.02,105.67,106.23,CL
20101201,105.78,109.07,105.75,108.87,CL
20101202,108.92,110.25,108.39,110.12,CL
20101203,110.06,111.61,109.26,111.31,CL
20101206,111.56,111.88,110.68,111.5,CL
20101207,111.04,112.88,110.16,110.81,CL
20101208,110.47,111.11,109.45,110.4,CL
20101209,110.67,111.54,109.83,110.49,CL
20101210,110.63,111.12,109.22,109.91,CL
20101213,109.8,111.61,109.56,110.73,CL
20101214,110.31,111.07,109.86,110.4,CL
20101215,110.4,111.21,108.95,110.74,CL
20101216,110.6,110.77,109.75,109.82,CL
20101217,109.99,110.64,109.13,110.14,CL
20101220,110.3,111.1,109.38,110.93,CL
20101221,110.78,111.66,110.62,111.38,CL
20101222,111.55,112.36,111.41,112.04,CL
20101223,112.17,113.19,111.89,113.07,CL
20101227,112.63,113.44,112.07,112.56,CL
20101228,112.35,113.23,112.31,113.05,CL
20101229,112.83,113.09,112.36,112.68,CL
20101230,112.54,112.96,110.58,111.4,CL
20101231,111.23,113.62,110.61,112.94,CL
20110103,112.87,114.14,112.77,113.11,CL
20110104,113.06,113.63,109.92,110.94,CL
20110105,110.85,112.4,109.66,111.86,CL
20110106,112.03,112.27,109.41,109.94,CL
20110107,109.74,111.04,108.81,109.59,CL
20110110,110.56,111.54,109.69,110.81,CL
20110111,110.87,112.95,110.49,112.67,CL
20110112,112.74,113.95,112.35,113.42,CL
20110113,113.56,113.93,112.31,112.96,CL
20110114,112.55,113.25,111.66,113.1,CL
20110118,113.07,113.46,112.11,112.94,CL
20110119,112.9,113.66,112.03,112.42,CL
20110120,112.26,112.42,109.56,110.42,CL
20110121,110.28,111.05,109.7,109.94,CL
20110124,110.09,110.46,108.1,108.7,CL
20110125,108.53,108.68,106.95,107.02,CL
20110126,107.06,108.62,106.86,108.16,CL
20110127,108.38,108.49,106.04,106.47,CL
20110128,106.11,110.56,105.94,110.17,CL
20110131,110.8,113.67,109.23,113.02,CL
20110201,113.03,113.28,111.16,111.6,CL
20110202,111.34,112.61,110.93,111.69,CL
20110203,111.76,112.88,110.83,111.37,CL
20110204,111.46,112.5,109.28,109.86,CL
20110207,109.89,110.37,108.01,108.31,CL
20110208,108.24,108.94,106.71,107.77,CL
20110209,108.18,108.78,107.19,107.54,CL
20110210,107.76,108.73,106.79,107.56,CL
20110211,108.53,108.6,105.93,106.41,CL
20110214,106.33,107.35,105.41,105.64,CL
20110215,105.67,106.8,104.68,105.15,CL
20110216,105.27,106.78,104.95,105.82,CL
20110217,106.08,107.46,105.21,107.19,CL
20110218,107.23,108.71,106.48,107.03,CL
20110222,112.84,115.32,107.08,114.4,CL
20110223,114.66,118.98,114.12,117.08,CL
20110224,117.95,122.39,114.6,116.26,CL
20110225,115.61,118.18,115.15,116.86,CL
20110228,117.48,118.94,115.69,115.95,CL
20110301,115.95,119.67,115.35,118.61,CL
20110302,119.46,121.48,118.19,121.21,CL
20110303,121.37,121.92,119.13,120.89,CL
20110304,120.68,124.15,120.52,123.4,CL
20110307,123.63,125.93,123.23,124.42,CL
20110308,123.83,124.77,122.31,124.0,CL
20110309,123.94,124.9,122.88,123.36,CL
20110310,123.43,124.04,119.6,121.68,CL
20110311,121.62,121.98,117.99,120.14,CL
20110314,119.29,120.87,117.45,120.17,CL
20110315,120.84,120.85,115.69,116.16,CL
20110316,116.38,118.58,115.2,116.96,CL
20110317,117.08,120.97,115.58,120.4,CL
20110318,120.74,122.64,119.12,120.05,CL
20110321,121.1,122.33,120.64,121.31,CL
20110322,121.08,123.52,120.41,122.98,CL
20110323,122.86,124.35,122.39,123.76,CL
20110324,123.53,124.7,122.77,123.61,CL
20110325,123.47,123.96,122.51,123.41,CL
20110328,123.44,123.77,121.61,121.99,CL
20110329,121.95,123.01,120.71,122.8,CL
20110330,122.46,123.16,121.45,122.28,CL
20110331,122.32,124.84,122.13,124.73,CL
20110401,124.63,126.48,124.31,125.95,CL
20110404,126.3,126.79,125.59,126.48,CL
20110405,126.21,126.61,125.51,126.35,CL
20110406,126.0,127.16,125.73,126.84,CL
20110407,126.68,128.45,126.24,128.31,CL
20110408,128.33,131.22,128.12,130.8,CL
20110411,131.29,131.47,126.69,127.93,CL
20110412,126.98,128.25,123.48,124.26,CL
20110413,124.03,125.44,123.32,125.12,CL
20110414,125.33,126.56,123.78,126.12,CL
20110415,126.46,128.11,125.22,127.67,CL
20110418,127.44,127.45,124.55,125.13,CL
20110419,125.53,126.46,123.51,126.16,CL
20110420,126.33,129.54,125.84,129.33,CL
20110421,129.25,130.36,128.88,130.17,CL
20110425,130.22,131.36,128.96,130.16,CL
20110426,130.03,130.52,129.0,130.09,CL
20110427,129.77,131.28,128.59,130.64,CL
20110428,131.01,131.85,129.57,130.74,CL
20110429,130.7,132.06,130.13,131.81,CL
20110502,131.77,132.71,128.7,131.4,CL
20110503,130.86,131.1,128.18,128.93,CL
20110504,128.56,129.1,126.36,127.12,CL
20110505,126.66,127.26,116.13,117.68,CL
20110506,117.64,120.26,112.51,115.06,CL
20110509,115.99,121.28,115.3,120.43,CL
20110510,120.32,121.83,118.0,121.76,CL
20110511,121.57,122.48,115.38,116.09,CL
20110512,116.47,118.37,113.13,116.85,CL
20110513,116.69,118.58,114.97,117.53,CL
20110516,117.24,117.53,114.71,115.25,CL
20110517,114.86,115.69,112.9,114.79,CL
20110518,115.45,118.87,115.34,117.98,CL
20110519,117.64,118.67,116.04,116.32,CL
20110520,116.48,117.78,113.87,117.37,CL
20110523,116.95,117.31,113.64,114.97,CL
20110524,114.81,117.36,113.88,116.86,CL
20110525,116.54,118.9,115.47,118.59,CL
20110526,118.51,119.17,116.88,117.5,CL
20110527,117.43,118.51,117.31,117.86,CL
20110531,117.96,120.66,116.87,119.97,CL
20110601,119.95,120.58,116.9,117.56,CL
20110602,117.06,118.2,115.73,117.67,CL
20110603,118.14,118.14,115.39,117.49,CL
20110606,117.69,117.95,115.82,116.28,CL
20110607,116.09,117.02,115.01,116.36,CL
20110608,116.85,119.16,115.29,118.01,CL
20110609,118.1,119.71,118.01,119.2,CL
20110610,119.11,119.42,115.87,116.56,CL
20110613,116.04,116.59,113.4,114.57,CL
20110614,114.36,116.91,113.78,116.64,CL
20110615,116.95,117.22,111.28,112.08,CL
20110616,112.56,113.02,111.56,112.22,CL
20110617,112.37,112.67,109.11,110.28,CL
20110620,110.07,110.76,108.41,110.53,CL
20110621,110.76,112.01,109.77,110.67,CL
20110622,110.26,112.2,109.74,111.91,CL
20110623,110.9,110.97,106.19,107.52,CL
20110624,108.79,108.84,106.32,107.66,CL
20110627,107.66,107.8,106.11,107.11,CL
20110628,107.21,109.87,106.94,109.39,CL
20110629,109.87,112.34,109.16,111.27,CL
