DATE,O,H,L,C,SYM
20170818,37.28,39.09,37.13,38.86,CL
20170821,39.07,39.1,37.38,37.72,CL
20170822,37.8,38.38,37.55,37.99,CL
20170823,37.8,38.66,37.69,38.57,CL
20170824,38.52,38.59,37.22,37.59,CL
20170825,37.78,38.07,37.55,38.03,CL
20170828,38.05,38.36,36.31,36.73,CL
20170829,37.02,37.12,35.92,36.6,CL
20170830,36.47,36.88,36.0,36.12,CL
20170831,36.11,37.63,35.74,37.39,CL
20170901,37.24,37.51,36.72,37.45,CL
20170905,37.44,39.14,37.51,38.82,CL
20170906,38.75,39.58,38.68,39.32,CL
20170907,39.3,39.49,38.79,39.25,CL
20170908,39.25,39.42,37.43,37.64,CL
20170911,37.74,38.43,37.16,38.23,CL
20170912,38.28,38.6,37.89,38.39,CL
20170913,38.5,39.56,38.28,39.46,CL
20170914,39.47,40.66,39.31,40.05,CL
20170915,39.88,40.29,39.57,40.05,CL
20170918,40.01,40.49,39.35,40.07,CL
20170919,40.07,40.58,39.49,39.64,CL
20170920,40.0,40.81,39.91,40.57,CL
20170921,40.6,40.69,39.95,40.43,CL
20170922,40.61,40.66,40.17,40.54,CL
20170925,40.56,42.16,40.27,42.1,CL
20170926,42.0,42.31,41.31,41.76,CL
20170927,41.97,42.22,41.51,42.02,CL
20170928,41.93,42.74,41.1,41.44,CL
20170929,41.46,41.65,41.13,41.55,CL
20171002,41.52,41.59,39.95,40.46,CL
20171003,40.47,40.61,40.02,40.3,CL
20171004,40.04,40.55,39.64,39.86,CL
20171005,39.76,41.1,39.73,40.67,CL
20171006,40.63,40.7,38.98,39.17,CL
20171009,39.13,39.67,39.01,39.46,CL
20171010,39.43,40.94,39.42,40.8,CL
20171011,40.82,41.3,40.49,41.18,CL
20171012,40.88,41.01,40.03,40.48,CL
20171013,40.61,41.6,40.58,41.33,CL
20171016,41.31,42.25,41.23,41.75,CL
20171017,41.81,42.13,41.09,41.76,CL
20171018,41.82,42.21,41.57,41.92,CL
20171019,41.93,42.05,40.95,41.17,CL
20171020,41.3,41.61,40.58,41.35,CL
20171023,41.58,41.81,41.19,41.41,CL
20171024,41.4,42.13,41.06,41.98,CL
20171025,42.07,42.08,41.4,41.69,CL
20171026,41.7,42.37,41.42,42.15,CL
20171027,42.31,43.71,41.76,43.41,CL
20171030,43.67,43.97,43.26,43.66,CL
20171031,43.59,44.36,43.44,43.89,CL
20171101,44.16,44.73,43.4,43.81,CL
20171102,43.79,44.35,43.5,44.05,CL
20171103,44.24,45.27,43.91,45.15,CL
20171106,45.48,47.12,45.17,46.86,CL
20171107,46.78,47.2,46.34,46.71,CL
20171108,46.47,47.43,45.92,46.32,CL
20171109,46.36,47.04,46.2,46.68,CL
20171110,46.53,46.86,46.06,46.25,CL
20171113,46.41,46.66,45.81,46.27,CL
20171114,46.23,46.28,44.32,45.21,CL
20171115,44.57,45.07,44.39,44.84,CL
20171116,44.81,45.13,44.44,44.65,CL
20171117,44.76,46.19,44.69,46.06,CL
20171120,46.2,46.27,45.08,45.6,CL
20171121,45.56,46.4,45.5,46.01,CL
20171122,46.3,47.33,46.21,47.2,CL
20171124,47.23,48.23,47.54,48.13,CL
20171127,48.13,48.17,46.73,47.29,CL
20171128,47.04,47.29,46.6,47.17,CL
20171129,46.91,47.48,45.93,46.48,CL
20171130,46.59,47.16,46.0,46.58,CL
20171201,46.6,48.06,46.47,47.54,CL
20171204,47.5,47.52,46.53,46.65,CL
20171205,46.66,47.1,46.26,46.8,CL
20171206,46.63,46.75,45.05,45.14,CL
20171207,45.18,45.96,45.0,45.87,CL
20171208,45.83,46.97,45.72,46.54,CL
20171211,46.43,47.26,46.09,47.17,CL
20171212,47.2,47.74,46.03,46.32,CL
20171213,46.63,47.01,45.73,45.78,CL
20171214,45.88,46.4,45.27,46.22,CL
20171215,46.33,46.67,46.12,46.48,CL
20171218,46.55,46.96,46.0,46.34,CL
20171219,46.48,46.82,46.34,46.64,CL
20171220,46.74,47.2,46.52,47.17,CL
20171221,47.1,47.46,46.71,47.44,CL
20171222,47.29,47.58,46.95,47.55,CL
20171226,47.48,49.09,47.4,49.05,CL
20171227,48.87,49.01,48.41,48.72,CL
20171228,48.61,49.02,48.52,48.92,CL
20171229,48.99,49.59,48.9,49.5,CL
20180102,49.28,49.82,49.18,49.45,CL
20180103,49.47,51.05,49.36,50.71,CL
20180104,51.04,51.29,50.67,51.09,CL
20180105,50.98,51.12,50.17,50.52,CL
20180108,50.69,51.05,50.42,50.81,CL
20180109,51.0,52.56,50.88,52.04,CL
20180110,52.49,52.75,52.17,52.65,CL
20180111,52.58,53.85,52.51,52.88,CL
20180112,52.65,53.58,52.14,53.38,CL
20180116,53.51,53.97,52.47,52.81,CL
20180117,52.97,53.25,52.39,53.05,CL
20180118,53.15,53.43,52.55,53.03,CL
20180119,52.82,52.85,51.93,52.45,CL
20180122,52.69,53.22,52.25,52.57,CL
20180123,52.88,53.88,52.7,53.47,CL
20180124,53.42,55.05,53.34,54.61,CL
20180125,54.88,55.66,54.08,54.51,CL
20180126,54.25,55.35,53.91,55.14,CL
20180129,55.18,55.46,53.98,54.56,CL
20180130,54.53,54.56,52.89,53.5,CL
20180131,53.03,53.94,52.67,53.73,CL
20180201,53.76,55.25,53.63,54.8,CL
20180202,54.99,55.3,53.47,54.45,CL
20180205,54.1,54.4,52.42,53.15,CL
20180206,52.43,53.29,52.12,52.39,CL
20180207,52.92,53.18,50.25,50.79,CL
20180208,50.7,51.09,49.27,50.15,CL
20180209,49.43,49.77,47.07,48.2,CL
20180212,48.12,49.83,48.1,48.29,CL
20180213,48.35,48.73,47.39,48.19,CL
20180214,47.98,49.9,47.2,49.6,CL
20180215,49.71,50.64,48.72,50.34,CL
20180216,50.45,50.99,49.88,50.68,CL
20180220,50.63,51.74,50.58,50.9,CL
20180221,50.74,50.97,50.03,50.79,CL
20180222,50.45,52.2,49.86,51.88,CL
20180223,51.71,52.84,51.44,52.66,CL
20180226,52.71,53.35,52.17,53.02,CL
20180227,53.17,53.19,51.75,52.12,CL
20180228,51.9,52.55,50.47,50.75,CL
20180301,50.66,50.94,49.29,50.1,CL
20180302,50.45,50.71,49.24,50.36,CL
20180305,50.66,51.9,50.21,51.68,CL
20180306,51.69,52.39,51.28,51.71,CL
20180307,51.41,51.69,49.69,50.26,CL
20180308,50.44,50.51,49.06,49.23,CL
20180309,49.38,51.29,49.25,51.15,CL
20180312,51.21,51.44,49.78,50.47,CL
20180313,50.48,51.08,49.38,49.82,CL
20180314,49.98,50.44,49.22,50.07,CL
20180315,50.06,50.65,49.93,50.3,CL
20180316,50.3,51.65,50.19,51.45,CL
20180319,51.34,51.46,50.47,51.17,CL
20180320,51.21,52.92,51.19,52.51,CL
20180321,52.69,54.52,52.55,54.14,CL
20180322,54.47,54.71,53.11,53.27,CL
20180323,53.25,54.97,53.08,54.85,CL
20180326,54.87,55.52,54.05,54.52,CL
20180327,54.5,55.38,53.5,54.22,CL
20180328,53.67,54.1,52.69,53.35,CL
20180329,53.66,54.23,53.13,53.91,CL
20180402,53.88,54.39,51.77,51.98,CL
20180403,51.86,52.83,51.83,52.48,CL
20180404,52.56,52.61,51.03,52.34,CL
20180405,52.57,53.09,52.04,52.51,CL
20180406,52.67,52.76,50.78,51.03,CL
20180409,50.97,52.58,50.9,52.39,CL
20180410,52.27,54.83,52.17,54.48,CL
20180411,54.56,56.42,54.12,55.79,CL
20180412,55.72,56.3,54.97,56.04,CL
20180413,56.15,56.73,55.67,56.36,CL
20180416,56.21,56.71,55.1,55.19,CL
20180417,55.39,55.72,54.53,55.49,CL
20180418,55.65,57.88,55.53,57.44,CL
20180419,57.72,58.53,56.95,57.26,CL
20180420,57.23,57.59,56.47,57.35,CL
20180423,57.17,57.98,56.09,57.59,CL
20180424,57.9,58.33,56.49,56.65,CL
20180425,56.7,57.13,56.06,57.0,CL
20180426,56.98,57.73,56.66,57.14,CL
20180427,57.16,57.31,56.59,57.05,CL
20180430,57.1,58.29,56.12,57.52,CL
20180501,57.51,57.85,55.8,56.2,CL
20180502,56.44,57.09,55.87,56.88,CL
20180503,56.63,57.55,56.16,57.38,CL
20180504,57.45,58.92,57.07,58.67,CL
20180507,58.8,59.79,58.46,59.68,CL
20180508,58.98,59.35,56.58,58.01,CL
20180509,59.0,60.31,58.8,60.09,CL
20180510,60.18,60.84,59.51,60.31,CL
20180511,60.4,60.58,59.4,59.65,CL
20180514,59.49,60.21,59.21,59.91,CL
20180515,60.1,60.87,59.37,60.26,CL
20180516,59.97,60.54,59.61,60.44,CL
20180517,60.51,61.25,60.04,60.44,CL
20180518,60.55,60.7,59.94,60.23,CL
20180521,60.42,61.54,60.2,61.19,CL
20180522,61.48,61.78,60.85,61.08,CL
20180523,60.99,61.14,60.07,60.72,CL
20180524,60.71,60.88,59.4,59.59,CL
20180525,59.53,59.68,56.3,56.76,CL
20180529,56.43,56.43,54.68,55.61,CL
20180530,55.73,57.55,55.23,57.09,CL
20180531,57.12,57.18,55.44,55.92,CL
20180601,55.95,56.22,54.39,54.69,CL
20180604,54.59,54.92,53.45,53.63,CL
20180605,53.82,54.45,53.1,54.4,CL
20180606,54.39,54.84,53.15,53.61,CL
20180607,53.95,54.95,53.69,54.83,CL
20180608,54.86,55.12,54.03,54.62,CL
20180611,54.44,55.23,53.73,54.98,CL
20180612,54.93,55.58,54.75,55.24,CL
20180613,54.89,55.77,54.4,55.52,CL
20180614,55.5,56.04,55.24,55.77,CL
20180615,55.88,55.97,53.17,53.94,CL
20180618,53.28,54.86,52.47,54.73,CL
20180619,54.7,54.78,53.27,53.95,CL
20180620,53.99,55.41,53.89,55.1,CL
20180621,54.73,55.61,53.73,54.93,CL
20180622,55.32,58.77,55.1,57.97,CL
20180625,58.14,58.83,57.17,57.47,CL
20180626,57.6,60.3,57.11,59.92,CL
20180627,60.07,62.45,59.95,62.15,CL
20180628,61.66,63.42,61.59,62.84,CL
20180629,62.72,63.85,62.32,63.54,CL
20180702,63.01,63.74,61.9,63.33,CL
20180703,63.47,64.66,62.12,63.53,CL
20180705,63.62,64.29,61.92,62.33,CL
20180706,62.55,63.4,61.53,63.19,CL
20180709,63.26,63.67,62.38,63.24,CL
20180710,63.43,64.09,63.04,63.5,CL
20180711,63.59,63.65,59.41,59.77,CL
20180712,59.99,60.63,58.62,59.72,CL
20180713,59.77,61.05,59.23,60.4,CL
20180716,59.91,60.26,56.97,57.45,CL
20180717,57.42,57.83,56.42,57.47,CL
20180718,57.0,58.45,56.43,58.15,CL
20180719,58.39,59.56,57.19,58.85,CL
20180720,58.78,60.49,58.76,59.85,CL
20180723,59.76,60.9,59.19,59.48,CL
20180724,59.39,60.64,59.15,60.11,CL
20180725,60.36,61.29,59.79,60.89,CL
20180726,60.97,61.51,60.51,61.2,CL
20180727,61.17,61.36,59.85,60.28,CL
20180730,60.6,62.02,60.39,61.72,CL
20180731,61.64,61.81,59.57,60.35,CL
20180801,60.02,60.11,58.9,59.25,CL
20180802,59.45,60.95,58.51,60.55,CL
20180803,60.58,60.83,59.46,60.08,CL
20180806,60.24,61.51,60.09,60.6,CL
20180807,60.49,61.42,60.4,60.76,CL
20180808,60.68,60.96,57.91,58.53,CL
20180809,58.38,59.0,58.08,58.4,CL
20180810,58.33,59.46,57.73,59.22,CL
20180813,59.37,59.54,57.3,58.79,CL
20180814,59.01,59.96,58.17,58.63,CL
20180815,58.21,58.49,56.1,56.6,CL
20180816,56.54,57.11,56.02,57.05,CL
20180817,57.06,57.98,56.89,57.5,CL
20180820,57.5,58.27,57.18,58.02,CL
20180821,58.21,59.69,58.11,58.94,CL
20180822,59.18,61.25,59.08,60.96,CL
20180823,61.17,61.22,60.42,60.93,CL
20180824,61.0,62.41,60.88,61.82,CL
20180827,61.67,62.07,61.44,61.97,CL
20180828,62.03,62.3,61.31,61.63,CL
20180829,61.64,62.86,61.47,62.61,CL
20180830,62.81,63.6,62.65,63.35,CL
20180831,63.16,63.46,62.74,62.9,CL
20180904,62.99,64.5,62.18,62.97,CL
20180905,62.53,62.69,61.66,61.82,CL
20180906,61.74,62.12,60.1,60.87,CL
20180907,60.98,61.18,59.96,60.85,CL
20180910,60.92,61.62,60.43,60.64,CL
20180911,60.63,63.11,60.58,62.35,CL
20180912,62.99,64.36,62.6,63.47,CL
20180913,63.34,63.38,61.45,61.69,CL
20180914,61.89,63.01,61.04,62.09,CL
20180917,62.03,62.82,61.63,62.01,CL
20180918,61.9,63.52,61.63,62.95,CL
20180919,62.81,64.6,62.75,64.22,CL
20180920,64.49,64.91,63.83,63.9,CL
20180921,63.78,65.38,63.56,64.36,CL
20180924,64.72,66.32,64.72,65.66,CL
20180925,65.83,66.36,65.47,65.86,CL
20180926,65.67,65.96,65.05,65.15,CL
20180927,65.59,66.18,65.29,65.7,CL
20180928,65.76,67.31,65.46,66.83,CL
20181001,66.87,69.35,66.53,68.88,CL
20181002,69.0,69.49,68.51,68.81,CL
20181003,68.7,70.48,67.88,69.99,CL
20181004,69.76,70.05,67.46,67.91,CL
20181005,68.25,68.8,67.41,67.92,CL
20181008,67.98,68.16,66.65,67.87,CL
20181009,67.79,68.86,67.58,68.54,CL
20181010,68.24,68.66,65.96,66.75,CL
20181011,66.26,66.34,64.09,64.55,CL
20181012,64.57,65.59,64.22,64.92,CL
20181015,65.43,66.28,64.43,65.36,CL
20181016,65.3,65.87,64.6,65.5,CL
20181017,65.75,66.01,63.01,63.33,CL
20181018,63.61,63.61,62.05,62.23,CL
20181019,62.26,63.35,62.14,62.7,CL
20181022,62.99,63.23,61.85,62.75,CL
20181023,62.94,63.05,59.13,59.82,CL
20181024,59.56,61.11,59.44,60.21,CL
20181025,59.75,61.04,59.38,60.72,CL
20181026,60.34,61.27,59.59,60.98,CL
20181029,60.94,61.34,59.68,60.43,CL
20181030,60.07,60.65,58.72,59.57,CL
20181031,59.71,60.39,58.2,58.7,CL
20181101,58.27,58.78,56.5,57.08,CL
20181102,56.89,57.34,56.02,56.53,CL
20181105,56.38,57.53,55.91,56.49,CL
20181106,56.09,56.71,54.7,55.6,CL
20181107,55.13,56.57,54.59,55.06,CL
20181108,55.03,55.81,53.79,54.06,CL
20181109,54.14,54.18,52.65,53.58,CL
20181112,54.09,54.67,52.07,53.32,CL
20181113,52.27,52.74,48.14,49.08,CL
20181114,48.66,50.76,48.52,49.64,CL
20181115,49.41,50.65,48.98,49.85,CL
20181116,49.97,51.35,49.28,49.85,CL
20181119,50.11,50.72,48.47,50.15,CL
20181120,50.34,50.39,45.72,46.38,CL
20181121,46.34,48.81,46.34,47.58,CL
20181123,47.61,47.07,43.1,43.37,CL
20181126,43.57,45.2,43.05,44.58,CL
20181127,44.49,45.33,43.25,44.51,CL
20181128,45.04,45.51,43.01,43.24,CL
20181129,43.26,45.15,42.36,44.4,CL
20181130,44.22,44.74,42.6,43.88,CL
20181203,45.4,46.8,44.98,45.9,CL
20181204,46.08,47.5,45.38,46.2,CL
20181205,45.54,47.39,45.11,45.84,CL
20181206,45.88,46.25,43.03,44.44,CL
20181207,44.71,47.17,43.55,45.56,CL
20181210,44.98,45.76,43.48,43.95,CL
20181211,43.84,45.38,43.65,44.6,CL
20181212,44.9,45.83,43.89,44.1,CL
20181213,44.15,46.22,43.3,45.53,CL
20181214,45.78,45.9,43.79,44.15,CL
20181217,44.2,44.82,41.96,42.83,CL
20181218,42.11,42.54,38.74,39.19,CL
20181219,38.88,40.95,38.88,40.15,CL
20181220,39.37,39.49,37.65,37.86,CL
20181221,38.23,38.75,37.11,37.57,CL
20181224,37.43,38.22,34.34,34.51,CL
20181226,34.83,38.98,34.5,38.2,CL
20181227,38.56,38.68,36.35,36.59,CL
20181228,37.42,38.2,36.4,37.31,CL
20181231,37.2,38.51,36.71,37.39,CL
20190102,37.78,39.76,36.33,38.52,CL
20190103,38.24,39.47,37.33,39.07,CL
20190104,38.88,41.2,38.63,39.94,CL
20190107,40.28,41.77,40.09,40.5,CL
20190108,40.71,41.93,40.29,41.76,CL
20190109,41.78,44.56,41.69,44.34,CL
20190110,44.16,44.76,43.35,44.57,CL
20190111,44.26,45.29,43.16,43.57,CL
20190114,43.71,44.09,42.36,42.49,CL
20190115,42.76,44.28,42.62,44.09,CL
20190116,43.98,44.5,43.24,44.29,CL
20190117,44.28,44.56,42.96,44.05,CL
20190118,44.21,45.9,44.07,45.78,CL
20190122,45.71,46.0,43.78,44.55,CL
20190123,44.49,45.18,43.4,44.16,CL
20190124,43.99,45.01,43.61,44.67,CL
20190125,44.71,45.48,44.45,45.23,CL
20190128,45.1,45.18,42.87,43.53,CL
20190129,43.66,45.47,43.38,44.85,CL
20190130,44.78,46.47,44.63,45.77,CL
20190131,45.82,46.91,45.16,45.33,CL
20190201,45.55,47.2,44.91,46.8,CL
20190204,46.86,47.29,44.83,46.1,CL
20190205,46.4,46.75,45.01,45.2,CL
20190206,45.27,45.84,44.4,45.55,CL
20190207,45.48,45.75,43.34,44.18,CL
20190208,44.13,44.53,43.62,44.26,CL
20190211,44.2,44.32,42.77,43.95,CL
20190212,44.01,45.59,43.83,44.64,CL
20190213,44.89,46.14,44.81,45.44,CL
20190214,45.5,46.22,44.62,45.95,CL
20190215,46.02,47.41,45.78,47.13,CL
20190219,47.32,47.87,46.83,47.63,CL
20190220,47.48,49.09,47.02,48.46,CL
20190221,48.54,48.91,47.94,48.26,CL
20190222,48.14,49.11,48.01,48.56,CL
20190225,48.47,48.83,46.38,46.78,CL
20190226,46.76,47.38,46.32,46.8,CL
20190227,47.25,48.69,47.02,48.24,CL
20190228,48.3,48.73,47.73,48.52,CL
20190301,48.52,49.18,46.87,47.1,CL
20190304,47.13,48.3,47.11,47.89,CL
20190305,47.75,48.49,47.39,47.86,CL
20190306,47.58,47.7,46.72,47.52,CL
20190307,47.5,48.29,47.38,47.96,CL
20190308,47.73,47.81,45.82,47.37,CL
20190311,47.37,48.31,47.26,48.09,CL
20190312,48.06,48.85,48.04,48.17,CL
20190313,48.39,49.78,48.31,49.56,CL
20190314,49.65,50.04,49.3,49.91,CL
20190315,49.81,50.25,49.04,49.82,CL
20190318,49.75,50.53,49.35,50.39,CL
20190319,50.31,50.87,49.92,50.33,CL
20190320,50.32,51.42,49.69,51.13,CL
20190321,50.89,51.29,50.56,50.88,CL
20190322,50.77,50.97,49.18,49.94,CL
20190325,49.88,50.25,49.07,49.72,CL
20190326,50.02,51.28,49.94,50.84,CL
20190327,50.93,51.12,49.71,50.31,CL
20190328,50.3,50.46,49.1,50.2,CL
20190329,50.43,51.63,50.31,51.04,CL
20190401,51.14,52.7,51.03,52.49,CL
20190402,52.71,53.65,52.5,53.48,CL
20190403,53.54,53.89,52.95,53.36,CL
20190404,53.4,53.67,52.79,53.0,CL
20190405,53.08,54.24,52.72,53.98,CL
20190408,54.23,55.38,54.03,55.3,CL
20190409,55.3,55.69,54.58,54.88,CL
20190410,55.12,55.6,54.95,55.51,CL
20190411,55.38,55.39,54.21,54.48,CL
20190412,54.61,55.55,54.56,54.79,CL
20190415,54.66,54.74,53.93,54.3,CL
20190416,54.47,55.27,53.89,54.95,CL
20190417,55.22,55.51,54.56,54.66,CL
20190418,54.65,55.06,54.36,54.9,CL
20190422,54.9,56.82,54.9,56.6,CL
20190423,56.8,57.65,56.63,57.35,CL
20190424,57.22,57.48,56.71,56.94,CL
20190425,56.86,57.33,55.95,56.26,CL
20190426,56.18,56.23,53.33,54.35,CL
20190429,54.0,54.74,53.51,54.55,CL
20190430,54.63,55.8,54.35,54.96,CL
20190501,54.45,54.98,53.82,54.65,CL
20190502,54.66,54.73,52.0,52.86,CL
20190503,52.6,53.57,52.35,52.99,CL
20190506,52.48,54.0,51.09,53.3,CL
20190507,53.22,53.54,51.71,52.45,CL
20190508,52.49,53.42,52.12,53.17,CL
20190509,53.07,53.26,51.97,52.75,CL
20190510,52.69,53.54,52.47,52.71,CL
20190513,52.7,54.38,51.69,52.09,CL
20190514,51.91,53.16,51.74,52.83,CL
20190515,52.42,53.39,51.9,53.07,CL
20190516,53.17,54.53,53.13,53.92,CL
20190517,54.17,54.69,53.57,53.81,CL
20190520,53.98,54.86,53.5,54.15,CL
20190521,54.27,54.65,53.8,54.04,CL
20190522,53.86,53.91,51.94,52.33,CL
20190523,52.22,52.32,48.24,48.82,CL
20190524,49.12,50.01,48.41,49.54,CL
20190528,49.85,50.48,49.04,50.05,CL
20190529,49.98,50.05,47.79,49.72,CL
20190530,50.03,50.61,47.24,47.5,CL
20190531,47.37,47.52,43.96,44.41,CL
20190603,44.33,45.54,43.02,44.16,CL
20190604,43.8,44.69,43.34,44.39,CL
20190605,43.77,44.32,41.51,42.59,CL
20190606,42.57,44.21,42.08,43.5,CL
20190607,44.01,45.23,43.53,44.9,CL
20190610,45.15,45.75,43.96,44.17,CL
20190611,44.34,44.95,43.82,44.18,CL
20190612,43.95,43.96,41.63,42.05,CL
20190613,41.98,44.36,41.83,43.19,CL
20190614,43.09,43.89,42.61,43.42,CL
20190617,43.41,43.65,42.49,42.84,CL
20190618,42.86,45.22,42.41,44.81,CL
20190619,45.0,45.33,44.19,44.67,CL
20190620,45.03,47.93,45.02,47.56,CL
20190621,47.75,48.47,47.15,47.92,CL
20190624,48.21,48.71,47.24,48.39,CL
20190625,48.23,49.33,47.69,48.32,CL
20190626,49.33,50.42,49.14,49.87,CL
20190627,49.76,50.22,49.1,49.92,CL
20190628,49.71,50.29,48.24,48.96,CL
20190701,49.76,50.77,48.83,49.58,CL
20190702,49.63,49.92,46.58,46.74,CL
20190703,46.98,47.97,46.53,47.83,CL
20190705,47.87,48.31,46.78,48.0,CL
20190708,48.26,48.95,47.79,48.15,CL
20190709,48.05,49.59,47.78,48.32,CL
20190710,48.89,51.02,48.84,50.92,CL
20190711,50.93,51.43,50.63,50.69,CL
20190712,50.95,51.23,50.42,50.7,CL
20190715,50.74,51.41,49.69,50.07,CL
20190716,49.75,50.55,47.56,48.11,CL
20190717,48.01,48.85,46.7,47.27,CL
20190718,47.09,47.81,45.21,45.79,CL
20190719,46.21,46.85,45.48,46.12,CL
20190722,46.71,47.33,46.21,46.71,CL
20190723,46.66,47.96,46.23,47.26,CL
20190724,47.72,48.13,45.82,46.37,CL
20190725,46.39,47.48,46.3,46.51,CL
20190726,46.42,47.06,46.17,46.69,CL
20190729,46.69,47.59,46.3,47.36,CL
20190730,47.56,48.96,47.45,48.54,CL
20190731,48.83,49.31,48.3,49.07,CL
20190801,48.34,48.48,44.08,44.44,CL
20190802,45.03,46.54,44.64,46.15,CL
20190805,45.87,46.1,44.71,45.18,CL
20190806,45.44,45.91,43.78,44.12,CL
20190807,43.91,44.26,41.01,41.58,CL
20190808,42.82,43.55,42.43,43.03,CL
20190809,43.37,45.41,42.86,44.99,CL
20190812,44.81,45.67,44.03,45.42,CL
20190813,45.22,47.96,44.7,47.59,CL
20190814,47.23,47.34,44.46,45.72,CL
20190815,45.39,45.82,44.26,44.96,CL
20190816,45.23,46.16,44.75,45.36,CL
20190819,45.45,46.9,45.33,46.7,CL
20190820,46.59,47.09,45.77,46.83,CL
20190821,46.75,47.83,46.25,46.38,CL
20190822,46.64,47.16,45.55,46.05,CL
20190823,46.05,46.3,43.94,44.87,CL
20190826,43.95,45.96,43.66,44.34,CL
20190827,44.46,46.42,44.39,45.63,CL
20190828,46.41,47.45,46.04,46.48,CL
20190829,46.58,47.59,46.13,47.41,CL
20190830,47.33,47.42,45.25,45.8,CL
20190903,45.7,45.94,43.54,44.64,CL
20190904,44.62,47.28,44.54,46.96,CL
20190905,46.65,48.46,46.45,47.0,CL
20190906,46.89,47.65,45.53,47.22,CL
20190909,47.5,48.86,47.28,48.55,CL
20190910,48.73,49.46,47.9,48.1,CL
20190911,48.59,49.0,46.31,46.45,CL
20190912,46.63,47.04,44.7,45.79,CL
20190913,45.85,46.38,45.14,45.55,CL
20190916,52.18,54.08,49.47,53.6,CL
20190917,52.66,53.29,49.16,50.04,CL
20190918,49.51,50.13,48.37,48.81,CL
20190919,48.9,50.24,48.71,48.83,CL
20190920,49.35,49.8,48.49,48.79,CL
20190923,49.95,50.09,48.07,49.34,CL
20190924,49.14,49.19,47.39,47.99,CL
20190925,47.4,47.72,46.25,47.19,CL
20190926,47.39,47.54,46.11,47.11,CL
20190927,47.21,47.46,45.45,46.61,CL
20190930,47.24,47.27,44.68,44.77,CL
20191001,44.98,45.54,43.75,44.32,CL
20191002,44.7,45.12,42.87,43.34,CL
20191003,43.17,43.61,41.69,43.15,CL
20191004,42.99,44.05,42.74,43.51,CL
20191007,43.39,44.76,43.29,43.45,CL
20191008,43.51,43.97,42.51,43.33,CL
20191009,43.27,44.44,43.01,43.29,CL
20191010,43.39,44.67,42.08,44.25,CL
20191011,44.58,45.63,44.34,45.4,CL
20191014,45.6,45.6,43.47,44.29,CL
20191015,44.21,44.49,43.09,43.51,CL
20191016,43.62,44.44,43.21,44.06,CL
20191017,43.69,44.86,43.32,44.63,CL
20191018,44.79,45.32,44.05,44.48,CL
20191021,44.41,44.73,43.41,44.01,CL
20191022,44.09,45.32,43.8,44.86,CL
20191023,44.68,46.45,44.0,46.35,CL
20191024,46.28,46.89,45.79,46.61,CL
20191025,46.45,47.12,45.98,47.04,CL
20191028,47.03,47.3,45.96,46.19,CL
20191029,46.18,46.29,44.99,45.92,CL
20191030,45.91,46.11,44.8,45.44,CL
20191031,45.28,45.97,44.09,44.56,CL
20191101,44.53,46.71,44.45,46.58,CL
20191104,46.79,47.81,46.21,46.92,CL
20191105,46.94,47.88,46.68,47.61,CL
20191106,47.64,48.23,46.49,46.73,CL
20191107,46.73,48.26,46.65,47.53,CL
20191108,47.46,47.86,46.14,47.62,CL
20191111,47.78,47.78,46.63,47.24,CL
20191112,47.27,47.93,46.92,47.18,CL
20191113,47.17,47.91,46.58,47.5,CL
20191114,47.77,48.17,47.01,47.15,CL
20191115,47.29,48.35,46.81,48.1,CL
20191118,48.26,48.47,46.93,47.43,CL
20191119,47.28,47.49,45.42,45.59,CL
20191120,45.54,47.63,45.14,47.49,CL
20191121,47.48,49.15,47.08,49.06,CL
20191122,48.79,49.22,47.98,48.25,CL
20191125,48.4,48.63,47.69,48.49,CL
20191126,48.4,49.04,48.24,48.89,CL
20191127,48.75,49.16,47.99,48.59,CL
20191129,48.61,48.78,45.5,45.65,CL
20191202,45.95,47.15,45.9,46.44,CL
20191203,46.44,47.28,45.83,46.58,CL
20191204,46.91,49.14,46.76,48.91,CL
20191205,48.84,49.6,48.58,48.91,CL
20191206,48.8,50.33,48.18,49.68,CL
20191209,49.59,49.73,48.71,49.5,CL
20191210,49.4,50.0,49.0,49.72,CL
20191211,49.54,49.7,48.59,49.24,CL
20191212,49.36,50.2,49.23,49.66,CL
20191213,49.84,50.96,49.75,50.55,CL
20191216,50.35,50.82,50.19,50.69,CL
20191217,50.71,51.54,50.51,51.42,CL
20191218,51.03,51.66,50.8,51.41,CL
20191219,51.34,51.95,51.27,51.7,CL
20191220,51.63,51.72,50.54,50.96,CL
20191223,50.93,51.29,50.62,51.04,CL
20191224,51.15,51.68,50.99,51.63,CL
20191226,51.72,52.35,51.58,52.2,CL
20191227,52.25,52.49,51.76,52.24,CL
20191230,52.23,52.86,51.61,52.2,CL
20191231,52.2,52.4,51.15,51.58,CL
20200102,52.12,52.12,51.16,51.7,CL
20200103,51.7,54.61,51.65,53.57,CL
20200106,54.23,55.24,53.16,53.79,CL
20200107,53.43,53.67,52.63,53.22,CL
20200108,53.36,56.17,49.67,50.13,CL
20200109,50.51,50.83,49.18,50.08,CL
20200110,50.13,50.3,49.37,49.56,CL
20200113,49.56,49.79,48.43,48.6,CL
20200114,48.55,49.24,48.24,48.75,CL
20200115,48.72,48.88,47.88,48.33,CL
20200116,48.62,49.39,48.08,49.04,CL
